genes	logFC	logCPM	LR	PValue	FDR	
IL1R1	1.259295796	5.989710398	30.97779864	2.60997E-08	1.35851E-05	
CD209	3.084245442	0.644141952	30.97123357	2.61881E-08	1.35851E-05	
STXBP1	-3.259516606	1.468946106	30.53607643	3.27715E-08	1.6414E-05	
CDKN1A	-1.544757534	4.708208802	30.393481	3.52711E-08	1.70771E-05	
ZBP1	-1.701017752	6.23651939	30.09686548	4.10995E-08	1.92571E-05	
ALOX15	2.594650695	5.118942166	29.3611101	6.00711E-08	2.72667E-05	
KCNJ2	1.813794637	5.258039682	29.14349154	6.72111E-08	2.95831E-05	
HAVCR2	0.998486684	5.045063809	29.05264528	7.04379E-08	3.00915E-05	
MTHFD2	-0.785940419	4.769103627	28.88795655	7.66883E-08	3.15323E-05	
KIAA1211L	2.408614271	4.81050463	28.85132763	7.81523E-08	3.15323E-05	
EPHX1	1.269292146	4.679091522	28.7443504	8.25905E-08	3.24224E-05	
LOC515418	1.312367893	7.383047453	28.22113497	1.08216E-07	4.13643E-05	
CLEC7A	1.621900649	2.431543618	28.12441384	1.13762E-07	4.23689E-05	
FLOT2	-0.765459158	5.864491114	27.6222304	1.47474E-07	5.14867E-05	
SCIMP	-1.072930921	5.657015308	27.61154684	1.48291E-07	5.14867E-05	
LOC104968436	1.355744241	4.271695729	27.60391279	1.48877E-07	5.14867E-05	
ZFYVE28	2.047201465	5.235246664	27.53091487	1.54603E-07	5.22236E-05	
WARS	-1.050639187	8.266830842	27.16147197	1.87151E-07	6.17812E-05	
RRAGD	1.93363632	1.360466611	26.96654537	2.07008E-07	6.68174E-05	
FKBP4	-0.835627571	6.005747112	26.7578426	2.30614E-07	7.28188E-05	
ALOX5	3.075871555	3.125677876	26.33163697	2.8754E-07	8.8862E-05	
IL12B	2.122567567	1.542624618	26.1960023	3.0846E-07	9.33414E-05	
H4	-2.348646172	1.078489299	25.9181447	3.56205E-07	0.000105589	
LAP3	-1.484676504	7.979447514	25.60474119	4.19009E-07	0.000121722	
PYGM	1.597346496	4.027457581	25.43690413	4.5709E-07	0.000130181	
ACE	-2.58163394	2.494433375	25.20321682	5.15961E-07	0.000144122	
C5AR1	1.357428545	7.560354641	24.76440189	6.47829E-07	0.000177542	
LGR6	2.07415371	1.68433322	24.56261768	7.19338E-07	0.000193489	
SORBS3	-1.612142982	2.337084482	24.36921753	7.95294E-07	0.00021003	
SVIL	0.791420295	5.865943087	24.31802478	8.16712E-07	0.000211835	
HIGD1A	-0.759439823	5.338763619	24.2486428	8.46667E-07	0.000215752	
EMB	1.26481981	6.466626312	24.12641549	9.02143E-07	0.000225925	
LOC788997	1.416116756	1.95782212	24.00522837	9.60745E-07	0.000235978	
LOC100851913	-2.744934669	4.449539141	23.95642819	9.85407E-07	0.000235978	
LOC101903157	-1.846514381	3.463616017	23.94548155	9.91026E-07	0.000235978	
LOC100336941	0.874398755	7.595461267	23.82051739	1.05749E-06	0.00024402	
LOC515676	-5.727941103	-0.334802278	23.81886795	1.0584E-06	0.00024402	
CXCL10	-1.739633875	3.923442022	23.75622167	1.09341E-06	0.000248154	
CD300LG	-7.839442613	1.01721123	23.40989566	1.30903E-06	0.000292519	
CHCHD10	-2.004375253	1.203175007	23.0818811	1.55247E-06	0.000337067	
CTSZ	-1.051915224	7.35204552	23.07899597	1.5548E-06	0.000337067	
DCHS1	1.38638518	2.529573728	22.93988668	1.67147E-06	0.000350728	
GYPB	5.993018686	-1.100072831	22.93236706	1.67802E-06	0.000350728	
WEE2	3.574145377	-0.449184587	22.91840496	1.69026E-06	0.000350728	
ENO3	-1.251898918	5.13895358	22.72514195	1.86906E-06	0.000381975	
CHI3L2	1.955827549	1.491363673	22.70024231	1.89344E-06	0.000381975	
PLB1	1.567789938	1.994568967	22.37115129	2.24724E-06	0.000441146	
FAM213A	1.417597646	3.221353532	22.37094147	2.24749E-06	0.000441146	
HBB	3.558624041	8.776224663	22.29788452	2.33464E-06	0.000452141	
SCN4B	1.872756614	1.145280799	22.20901119	2.44523E-06	0.000467329	
OSBPL6	1.203015945	4.562498499	22.00193026	2.72376E-06	0.000513801	
MMP14	-2.678214085	-0.02624977	21.8764283	2.90784E-06	0.000541492	
PLXNB1	1.266680039	2.636471925	21.77155201	3.0712E-06	0.000564674	
KYNU	-0.958418305	5.8248913	21.72560504	3.14565E-06	0.000568227	
CLEC5A	1.605728744	2.885256283	21.70478799	3.17997E-06	0.000568227	
HRH2	1.299695395	5.93805073	21.68801582	3.20789E-06	0.000568227	
CLEC4E	1.651130191	2.866402348	21.58533634	3.38429E-06	0.000592251	
ARG1	5.456525518	-0.221949196	21.44498244	3.64128E-06	0.000629637	
GPR34	1.395301116	2.106313622	21.25190664	4.0271E-06	0.000683434	
DMBT1	-4.674356169	2.207879564	21.24269459	4.0465E-06	0.000683434	
LOC104973604	2.880930487	0.268303988	21.20601085	4.12469E-06	0.000688633	
LOC515150	2.080845815	3.890631576	21.14689229	4.25391E-06	0.000702136	
FAM129B	1.191371854	5.051138019	21.09105091	4.37969E-06	0.000714775	
FZD2	-2.929068413	-0.930415678	20.76843785	5.18302E-06	0.000830337	
XG	0.85553611	6.447665593	20.76139509	5.20211E-06	0.000830337	
LOC107133121	-1.290127894	2.321371401	20.50411918	5.95031E-06	0.000939437	
ACSL5	-0.706972787	7.478633066	20.45266871	6.11243E-06	0.000941912	
SYT4	-1.463190568	2.990947422	20.43668903	6.16368E-06	0.000941912	
BAG3	-0.806693249	4.453968194	20.41387802	6.23758E-06	0.000941912	
REEP1	4.348557965	-0.59190951	20.40410719	6.26951E-06	0.000941912	
COL18A1	1.230129895	5.384191326	20.38664191	6.32699E-06	0.000941912	
NRIP3	2.270181838	3.224596036	20.37816718	6.35507E-06	0.000941912	
SOX4	0.976744281	4.269798005	20.32808488	6.5236E-06	0.000957124	
UNC5A	3.565724974	-0.253674618	20.29202823	6.6477E-06	0.000965578	
LOC104975876	-2.941101656	-0.618776722	20.23885265	6.83506E-06	0.000974879	
DAGLA	2.009727592	2.478395464	20.23580197	6.84597E-06	0.000974879	
LOC101906302	1.50259026	4.551625022	20.18350783	7.03569E-06	0.000992169	
CDR2	1.079886253	2.899977033	20.15028539	7.15896E-06	0.000999845	
PIGR	2.062051481	1.665430386	20.07940445	7.42924E-06	0.001018083	
MIR223	2.006564276	2.836962365	20.07927856	7.42973E-06	0.001018083	
SDC3	-1.696176327	0.805537606	20.02147181	7.65774E-06	0.001039521	
UBE2V2	-0.555251661	6.013631856	20.00292028	7.7324E-06	0.001039936	
ID1	-2.494052576	1.50969594	19.98371518	7.81045E-06	0.001040796	
YARS	-0.52945936	5.664442128	19.8087286	8.55909E-06	0.001130189	
JAM3	1.253310532	3.543958168	19.74671437	8.84136E-06	0.001156943	
OPTN	-0.767605192	5.411042892	19.66090239	9.24742E-06	0.001199275	
GATA6	-2.254796094	0.316815265	19.51284246	9.99256E-06	0.001284442	
TNF	-0.854457754	3.806178377	19.419836	1.04912E-05	0.001336704	
LOC514978	1.701778806	1.715602472	19.39787115	1.06125E-05	0.001340409	
LOC104976322	-0.809850466	4.852206893	19.20361392	1.17491E-05	0.001459996	
NUGGC	-1.048843229	3.835866424	19.20177828	1.17604E-05	0.001459996	
RYR3	3.019027836	1.109820647	19.18219048	1.18817E-05	0.001462554	
RBM3	0.757623214	6.989067299	19.15367506	1.20605E-05	0.001472091	
ATP1B3	-0.697628074	6.379471161	19.10203005	1.23913E-05	0.001498202	
MYADM	0.789786257	7.484129984	19.08289626	1.25162E-05	0.001498202	
DRAM2	-0.626369158	6.305514324	19.07260009	1.25839E-05	0.001498202	
BCL2A1	-0.771683369	5.423460876	19.04672892	1.27556E-05	0.001506304	
ADM	-3.573777781	-0.878990629	19.0058657	1.30317E-05	0.001526498	
GNAI1	1.554489338	2.668348102	18.94495684	1.34544E-05	0.001536096	
LCN2	-1.506298182	3.173941915	18.94254464	1.34715E-05	0.001536096	
LOC100336669	-1.316979203	5.21357927	18.93843157	1.35005E-05	0.001536096	
DYNLL1	-0.864839257	6.849104896	18.93333155	1.35367E-05	0.001536096	
GIMAP2	0.975861376	6.188103012	18.86967946	1.3996E-05	0.001566248	
LOC107132962	-1.515356837	3.197994313	18.86667198	1.40181E-05	0.001566248	
CD180	-1.091073	5.485122009	18.82733216	1.43102E-05	0.001581747	
ATG2A	0.703852571	6.75248149	18.81071627	1.44354E-05	0.001581747	
GAS1	1.195306095	2.771396539	18.80437306	1.44835E-05	0.001581747	
DNASE1	0.708732383	4.726691453	18.69598528	1.53305E-05	0.001661757	
RBM44	7.436102723	0.494082326	18.61294837	1.60129E-05	0.001722872	
GPR4	1.994493435	1.649835024	18.51374206	1.68684E-05	0.001788422	
LOC101909551	1.540902164	4.012424589	18.51373599	1.68684E-05	0.001788422	
RGS14	0.52023488	7.630147938	18.45067388	1.74359E-05	0.001835193	
LOC511180	2.074072347	2.251213985	18.43424631	1.75869E-05	0.001837765	
LOC526745	-2.641035553	-0.737070007	18.27705742	1.90994E-05	0.001981559	
MROH5	1.748285646	0.867851815	18.16480231	2.02589E-05	0.002086903	
SLC15A1	-1.202429809	2.263251699	18.15138712	2.04021E-05	0.002086903	
LY86	-0.768227878	6.969601794	18.07603598	2.12256E-05	0.002155958	
LOC104970831	1.625009249	1.698732862	17.99376048	2.2163E-05	0.002225604	
LOC101904563	1.506273384	2.824375183	17.98906729	2.22177E-05	0.002225604	
LOC101901948	1.41886192	6.551118246	17.94295013	2.27626E-05	0.002264566	
FKBP9	1.5876599	0.585513047	17.91634916	2.3083E-05	0.002280817	
TCTN1	1.060973129	4.310236968	17.7539786	2.51391E-05	0.002457185	
MAPK6	-0.609841286	6.135791263	17.73828205	2.53474E-05	0.002457185	
ZCCHC14	-1.518460887	1.427123534	17.73618131	2.53754E-05	0.002457185	
TPPP3	1.472550096	5.241334789	17.71577218	2.56491E-05	0.00246724	
CD72	-0.668846101	5.14914425	17.57169605	2.76676E-05	0.002630557	
DGKG	1.160292587	2.927082907	17.56884282	2.77091E-05	0.002630557	
HSPH1	-0.771439588	5.868035285	17.55020515	2.79821E-05	0.0026356	
LOC100336949	2.376527387	-0.317967879	17.54050594	2.81252E-05	0.0026356	
LOC783613	-0.875935128	6.316668485	17.48710208	2.89263E-05	0.002693302	
LOC513969	1.820231187	2.119087356	17.33533046	3.13307E-05	0.002898592	
EPSTI1	-0.682672486	7.215634293	17.31347449	3.16932E-05	0.002913564	
ATP6V1B2	-0.63909068	7.13974112	17.27641792	3.23173E-05	0.002952255	
STK3	-0.846469268	4.051710266	17.25659405	3.26562E-05	0.002964573	
SLFN14	-1.389238767	2.989893374	17.19172224	3.37906E-05	0.003048496	
CXCR4	0.924945769	6.663221439	17.16850002	3.42062E-05	0.003066942	
DUSP15	-1.651184274	0.33212964	17.04103988	3.65806E-05	0.003259711	
HIC1	1.20628586	2.947508267	16.99662088	3.74464E-05	0.003316518	
LOC104973085	1.520047799	3.975715001	16.94144122	3.85507E-05	0.003393632	
LOC784058	-0.856816961	6.200098717	16.91253173	3.91423E-05	0.003424953	
PDE9A	1.239687237	2.532135655	16.83327282	4.08114E-05	0.003549618	
SLC25A33	0.988318095	4.380797902	16.76505784	4.23052E-05	0.003657637	
RNF149	1.080847923	9.053689244	16.61965461	4.56752E-05	0.003913185	
LOC508153	-0.523989	6.916617889	16.61449075	4.57998E-05	0.003913185	
IL5RA	2.254015707	2.278392588	16.57418377	4.67835E-05	0.003973866	
KDM4B	0.516773044	6.286626655	16.46718936	4.94993E-05	0.004180103	
SLC16A12	1.420661101	6.209107463	16.45164654	4.99068E-05	0.004190153	
DHRS13	-1.131925341	1.704271572	16.40834724	5.10599E-05	0.004262326	
OVOS2	3.914932797	-0.747424013	16.39742921	5.13548E-05	0.004262451	
KLHL22	0.759697933	7.336647969	16.34733102	5.27304E-05	0.004351754	
ATP1B1	0.732629298	4.986301128	16.33410255	5.30997E-05	0.004354008	
PEG10	1.501250407	1.974941433	16.32493533	5.33572E-05	0.004354008	
YPEL5	-0.705059174	6.990925078	16.22785882	5.61621E-05	0.004540989	
HIST1H2BD	-0.9581487	4.146007885	16.22409275	5.62739E-05	0.004540989	
TESK2	-0.748746716	4.151841364	16.20740339	5.67718E-05	0.00455586	
LOC101905447	-0.862529409	5.943385553	16.01264763	6.29207E-05	0.005021559	
ADRB3	-2.248676406	1.010483787	15.98094634	6.39832E-05	0.005078449	
GLRX2	-0.907822878	4.674657701	15.92473158	6.59118E-05	0.005203093	
C5AR2	1.199559108	6.04526536	15.89153879	6.70779E-05	0.005244261	
LPAR2	-0.936337367	2.318001011	15.88935342	6.71554E-05	0.005244261	
STXBP3	-0.570158204	6.330950664	15.80947041	7.0051E-05	0.005441127	
LOC781710	-1.821673822	6.291360255	15.78544236	7.09463E-05	0.005467943	
PBX4	-1.338088813	2.809228859	15.77457237	7.13551E-05	0.005467943	
PRKRA	1.259856534	3.106435831	15.77005695	7.15256E-05	0.005467943	
LOC100337168	1.5460416	0.937279401	15.74484207	7.24853E-05	0.00549264	
MOV10	-0.565426128	6.359217613	15.74172212	7.2605E-05	0.00549264	
CXHXorf23	0.653516176	5.006715291	15.70922649	7.3863E-05	0.00555886	
LOC100848517	1.370930826	1.063994599	15.68914758	7.46513E-05	0.005580609	
TCEB1	-0.692530576	6.012833568	15.6696601	7.54244E-05	0.005580609	
LOC101906463	1.778412363	4.824892448	15.66809819	7.54867E-05	0.005580609	
LOC512617	-1.820647002	0.212343304	15.65970352	7.58225E-05	0.005580609	
LAMC2	2.404062534	-0.621062419	15.65346644	7.6073E-05	0.005580609	
LOC104976912	1.397480791	2.59463973	15.597966	7.83388E-05	0.005717946	
LOC100847159	1.120381958	4.858912795	15.5549157	8.0143E-05	0.005820385	
GBP4	-1.18028549	5.251115209	15.51740236	8.17492E-05	0.005907497	
ASAH1	-0.609460608	6.600603716	15.4938485	8.27742E-05	0.005944971	
TLR7	0.642669188	6.034108041	15.47831413	8.34573E-05	0.005944971	
HPGD	1.857201895	3.693580539	15.4774455	8.34956E-05	0.005944971	
DBN1	0.888160529	4.284832086	15.46760202	8.39316E-05	0.005946862	
CMAS	-0.609225565	6.46010674	15.40146818	8.69207E-05	0.006128756	
TMC1	-1.936904224	1.706901156	15.37275329	8.82517E-05	0.006174985	
RAB7B	-1.485369258	4.220623559	15.36901208	8.84266E-05	0.006174985	
COX7C	-1.002125313	6.068836204	15.32577053	9.04738E-05	0.006287715	
DMD	1.52508991	1.114515754	15.30491242	9.14783E-05	0.00632725	
EFHB	1.043286482	4.011704867	15.25102793	9.41255E-05	0.006457607	
VCAN	1.277527334	6.401576628	15.24848832	9.42522E-05	0.006457607	
CCR5	-1.22189782	3.284439782	15.22928398	9.52154E-05	0.00646729	
RFX2	1.149667321	2.398104926	15.22236965	9.55647E-05	0.00646729	
CCDC86	-0.649394959	4.429552698	15.21503816	9.59364E-05	0.00646729	
IL27	-1.401148939	2.085557486	15.2103571	9.61745E-05	0.00646729	
LOC100847999	1.679997579	0.371054857	15.16559859	9.84813E-05	0.00657723	
SH3BP4	1.198635716	2.127554315	15.16112322	9.8715E-05	0.00657723	
DFNB31	0.786244964	3.908906971	15.14782709	9.94127E-05	0.006587942	
TNFRSF11A	1.687717808	0.754373233	15.13255803	0.00010022	0.006587942	
LOC513659	-1.388678522	5.967527727	15.13224534	0.000100237	0.006587942	
FAM105A	0.658257588	5.851967814	15.08671003	0.000102684	0.00671838	
BPI	1.320105957	3.804744642	15.06748997	0.000103735	0.006756702	
ATP1A1	-0.639798605	7.652319083	15.02338881	0.000106187	0.006885561	
UQCRB	-0.657868513	5.783943241	14.94986383	0.000110406	0.007127323	
CD276	1.244430435	3.239533629	14.90806771	0.000112879	0.007254737	
KLRC1	1.972547885	4.060978365	14.84009309	0.000117021	0.007487805	
SLC6A4	-1.870410624	5.356713449	14.80417584	0.000119271	0.007598302	
CPNE5	1.759943172	0.580735848	14.7575406	0.000122258	0.007754549	
CYCS	-0.693533901	5.582935908	14.67140943	0.000127973	0.008081759	
LTB4R	1.876467174	1.678120828	14.64314059	0.000129907	0.008168367	
LOC101902172	-0.925536398	4.367576357	14.62742476	0.000130994	0.008171738	
IDH3A	-0.560709459	4.696535586	14.62611537	0.000131085	0.008171738	
ANGPTL4	-1.406369211	0.323596154	14.59550723	0.000133232	0.008270051	
EPB41L2	-0.720072396	4.36449153	14.57755702	0.000134507	0.008292061	
LOC101906105	-1.910278118	-0.775875193	14.57446171	0.000134728	0.008292061	
SDHD	-0.576746687	6.354225482	14.53791199	0.000137367	0.00841881	
ENKUR	1.617555101	1.475372595	14.52740077	0.000138136	0.00843034	
CLEC2B	-1.212419807	2.964590913	14.47630278	0.000141934	0.008605583	
FCER2	0.797623104	5.733246697	14.46913699	0.000142475	0.008605583	
LOC100847890	-0.752717646	6.901653096	14.46504764	0.000142785	0.008605583	
NFE2L3	-0.764610201	5.687688966	14.38511503	0.000148975	0.008941595	
LOC100847469	4.209690189	-0.412395044	14.24075918	0.000160849	0.009614513	
GDA	0.748259744	6.524038286	14.22897629	0.000161859	0.009635247	
MT1E	-1.725742753	0.371760188	14.18748495	0.000165467	0.0098008	
MBP	0.559961709	8.485770663	14.17634833	0.00016645	0.0098008	
GLB1L3	1.330449167	2.257495386	14.17392498	0.000166664	0.0098008	
PROKR1	-1.041787639	3.444552222	14.12670287	0.0001709	0.010009392	
TNS1	1.82175354	1.086753235	14.1081881	0.000172591	0.0100678	
TRPC1	1.109894764	2.469316568	14.06941168	0.000176186	0.010236401	
CIRBP	0.69810038	6.9660392	14.04809209	0.000178195	0.010311854	
STX11	-1.133051458	5.623731982	14.03996807	0.000178966	0.0103154	
LOC100335205	0.836818492	7.904511434	14.0160172	0.00018126	0.01040633	
FADS1	-1.13921927	3.85137454	14.00192616	0.000182623	0.01044333	
PRMT2	0.53818741	5.660215276	13.95965151	0.000186776	0.010638924	
TIAM1	0.549050321	6.728568446	13.95224452	0.000187514	0.010639202	
MGC137036	2.517012114	-0.381175622	13.93747338	0.000188993	0.010681405	
LOC104972200	1.869872103	1.489642033	13.92460215	0.000190291	0.01071311	
SDHAF2	-0.668300717	6.035845136	13.89408965	0.000193406	0.010846401	
ERMAP	1.520550081	0.72944471	13.84557068	0.000198464	0.011053246	
IL10	-1.692313038	0.266233751	13.84413204	0.000198616	0.011053246	
IRS2	0.837320267	5.304189999	13.82476129	0.000200674	0.011106946	
RIPK2	-0.428664312	5.412155171	13.82068154	0.00020111	0.011106946	
DUSP2	1.027031512	7.432930807	13.79930401	0.000203412	0.011191489	
A2M	0.66846721	7.978116643	13.74989697	0.000208832	0.011446373	
PSMA6	-0.622430305	6.885309028	13.7164464	0.000212585	0.011608244	
PIP4K2A	-0.582306395	7.532761728	13.6915075	0.000215426	0.011719361	
CADPS2	-1.201806304	2.30320533	13.62685886	0.000222973	0.012084616	
SSX5	3.87776591	-0.371397772	13.59328359	0.000226996	0.012227995	
RNASE10	-1.776261248	-0.053424496	13.59075817	0.000227302	0.012227995	
PFKFB2	0.658982705	4.271571487	13.56693133	0.000230205	0.012338501	
FRZB	2.088041602	0.710084711	13.5590217	0.000231178	0.012345052	
IQCD	-1.317404661	1.949175843	13.51549332	0.000236602	0.012588436	
RYBP	-0.435725402	6.1110195	13.50223825	0.000238279	0.0126314	
LOC100138951	1.513797264	3.404486495	13.43475789	0.000247005	0.013046348	
RBM23	0.425385843	6.308569465	13.39458155	0.000252352	0.013280493	
LOC508459	-1.597402665	5.633816991	13.3620766	0.000256764	0.01346388	
HIBADH	-0.533682164	4.655969954	13.31909314	0.000262717	0.013726502	
C3AR1	-1.367297361	3.53766983	13.29414853	0.000266236	0.013783198	
TARSL2	1.958139169	1.870785114	13.29208174	0.000266529	0.013783198	
ABCC3	0.993611522	3.535094402	13.29123954	0.000266649	0.013783198	
LOC100300760	1.270237817	3.090606444	13.28425683	0.000267644	0.013785569	
ACO2	-0.455918224	6.519019502	13.26886462	0.000269851	0.013826098	
LAMTOR2	-0.80464523	5.778325564	13.2624011	0.000270783	0.013826098	
TRIM21	-0.503479317	6.123746844	13.25457592	0.000271915	0.013826098	
LOC504861	-1.110053997	3.641229696	13.25234917	0.000272238	0.013826098	
ARHGAP18	0.543827611	5.375358768	13.23417762	0.00027489	0.013912139	
LOC107132998	1.802309891	2.152004129	13.16785108	0.000284793	0.014312375	
TOMM40	-0.536838206	5.057216861	13.16273232	0.000285572	0.014312375	
HAX1	-0.52684473	4.524043823	13.16153424	0.000285755	0.014312375	
TRIB3	0.625077348	4.835038679	13.12511694	0.000291363	0.014543127	
TSPAN33	-1.119975783	3.119596352	13.10980593	0.000293754	0.014612255	
LOC107131700	1.995782106	-0.170153722	13.07765923	0.000298839	0.014758848	
PTGS2	-1.139015454	1.7270833	13.07462697	0.000299323	0.014758848	
TTLL3	0.643063538	4.469433819	13.07195942	0.000299749	0.014758848	
LOC751789	1.251714132	3.519422865	13.0553614	0.000302417	0.014825155	
CHST1	0.812481586	4.55880826	13.04511626	0.000304076	0.014825155	
TIMP2	-0.801273729	6.546606747	13.04450529	0.000304175	0.014825155	
CLEC4D	1.019288165	4.347974372	13.0383383	0.000305179	0.014825155	
ABCB1	0.839163247	4.343334395	12.97617819	0.000315479	0.015274455	
CASS4	0.996405119	4.037686152	12.92068257	0.000324971	0.015681756	
CDC42EP3	0.607922796	4.971083624	12.91315164	0.000326281	0.015692841	
WDR35	1.268566623	3.16985648	12.8855619	0.000331127	0.015873319	
ST3GAL3	0.611763169	5.964669705	12.87598175	0.000332826	0.015902299	
FDPS	-0.480834956	6.186089928	12.85885239	0.000335887	0.015995907	
CAMK2G	0.635121657	5.777320433	12.84824296	0.000337796	0.01602455	
PYCARD	-0.859391694	5.676014908	12.84327414	0.000338694	0.01602455	
GCSAM	0.969596784	3.359562004	12.83263758	0.000340625	0.016024907	
LOC101906110	1.130450415	1.306628462	12.82551461	0.000341924	0.016024907	
DLAT	-0.489056461	4.677840493	12.8250368	0.000342012	0.016024907	
HGSNAT	0.51958176	5.841990122	12.80113992	0.000346408	0.01609592	
ZNF496	0.653436361	3.935476695	12.80087772	0.000346457	0.01609592	
C23H6orf132	1.922661282	0.828495642	12.79874566	0.000346852	0.01609592	
LOC511531	-1.556759804	7.051233327	12.78604746	0.000349214	0.016106117	
LOC100847700	-0.745121737	4.545362557	12.7856452	0.000349289	0.016106117	
LOC101906179	1.563803875	1.65117593	12.7656987	0.000353034	0.016198725	
DUSP10	-0.784520525	2.872281118	12.75873225	0.000354351	0.016198725	
IVD	-0.464203337	6.413804622	12.75718962	0.000354643	0.016198725	
GBP2	-1.28651034	7.390036554	12.72435809	0.000360924	0.016346158	
DNAJA3	-0.429816994	5.710154179	12.72063958	0.000361642	0.016346158	
LOC100337090	1.073728922	4.737733104	12.71966543	0.00036183	0.016346158	
CBWD2	-0.675004476	4.376962006	12.71686534	0.000362373	0.016346158	
PLAC8	-0.787371869	9.624676212	12.69683592	0.000366275	0.016471027	
PXN	0.770821453	6.842826094	12.68596495	0.00036841	0.01651593	
STX18	-0.491659293	4.434672761	12.63654455	0.000378279	0.016906141	
WDR45B	0.526278295	5.898737388	12.62686302	0.000380243	0.016941797	
AK2	-0.473655719	6.522143453	12.59856773	0.000386042	0.017112658	
FAM131B	1.026382592	3.298959663	12.59667365	0.000386434	0.017112658	
FHL3	0.771008896	4.308528093	12.57565968	0.000390803	0.017192322	
RHBDD2	0.491599202	5.387965296	12.5748196	0.000390979	0.017192322	
SEMA3B	1.530576995	0.772082886	12.5709769	0.000391784	0.017192322	
SEMA7A	1.003367412	5.216003187	12.52028486	0.000402558	0.017611891	
MAFB	-0.806321622	5.877004373	12.50501538	0.000405861	0.017651572	
ANKRD2	1.178027624	1.84410684	12.50485888	0.000405895	0.017651572	
SLC40A1	-1.218694631	7.782280358	12.48559315	0.000410102	0.017781309	
TXNDC16	-1.011643054	2.949554404	12.47499588	0.000412436	0.017781557	
LOC101908395	-1.178726554	2.275953958	12.47050127	0.000413429	0.017781557	
SGK1	0.88124052	6.639227947	12.46891304	0.000413781	0.017781557	
DRG1	-0.463411427	6.189021819	12.45728273	0.000416365	0.01779454	
IQGAP2	0.613877177	7.315223379	12.45516974	0.000416836	0.01779454	
NCKAP1	1.150050139	2.505186276	12.45104415	0.000417758	0.01779454	
LOC101907084	-0.914865147	2.905416911	12.42566623	0.000423473	0.017985239	
KCNH8	3.008462319	0.372720699	12.38636004	0.000432482	0.018288748	
DOCK5	0.814000598	3.51228783	12.38352791	0.000433138	0.018288748	
BLK	0.871262641	7.709878835	12.37453476	0.000435229	0.018323782	
SNX10	-0.954401674	7.940153364	12.33940036	0.000443497	0.018617921	
CALCRL	0.819780148	4.459834135	12.33080777	0.000445544	0.018649914	
MYLIP	0.49261119	6.340575766	12.24941682	0.000465404	0.01942525	
ZP3	0.890977012	3.071421429	12.23542464	0.000468907	0.019515387	
LOC101907988	1.176084227	0.984095002	12.19149261	0.00048008	0.019867275	
BAZ2B	0.674448066	5.702272725	12.19011154	0.000480435	0.019867275	
LOC100297044	1.622558466	4.926016544	12.18543899	0.00048164	0.019867275	
SGCE	1.600737069	0.717666561	12.18082472	0.000482833	0.019867275	
LOC101905590	-0.925936793	2.645903924	12.15019079	0.000490828	0.020051056	
USP32	0.805830391	7.380745155	12.14438122	0.00049236	0.020051056	
LGALS12	0.884741702	4.108831684	12.14275163	0.00049279	0.020051056	
NHLH2	4.727603293	-0.809234271	12.1426344	0.000492821	0.020051056	
MERTK	-1.825687429	2.874309569	12.11137809	0.000501151	0.020314785	
